treatment	time_h	active	total
T3_0.1_BHAM	0.1667	0	30
T3_0.1_BHAM	0.3333	3	30
T3_0.1_BHAM	0.5	7	30
T3_0.1_BHAM	0.6667	12	30
T3_0.1_BHAM	1	19	30
T3_0.1_BHAM	1.5	22	30
T3_0.1_BHAM	2	24	30
T3_0.1_BHAM	3	25	30
T3_0.1_BHAM	4	26	30
T3_0.1_BHAM	6	27	30
T3_0.1_BHAM	8	27	30
T3_0.1_BHAM	24	29	30
T3_0.2_BHAM	0.1667	0	30
T3_0.2_BHAM	0.3333	0	30
T3_0.2_BHAM	0.5	1	30
T3_0.2_BHAM	0.6667	5	30
T3_0.2_BHAM	1	9	30
T3_0.2_BHAM	1.5	10	30
T3_0.2_BHAM	2	16	30
T3_0.2_BHAM	3	18	30
T3_0.2_BHAM	4	19	30
T3_0.2_BHAM	6	26	30
T3_0.2_BHAM	8	26	30
T3_0.2_BHAM	24	26	30
T3_control	0.1667	1	30
T3_control	0.3333	13	30
T3_control	0.5	17	30
T3_control	0.6667	22	30
T3_control	1	24	30
T3_control	1.5	24	30
T3_control	2	25	30
T3_control	3	27	30
T3_control	4	27	30
T3_control	6	27	30
T3_control	8	27	30
T3_control	24	27	30
T30_0.1_BHAM	0.1667	0	30
T30_0.1_BHAM	0.3333	1	30
T30_0.1_BHAM	0.5	3	30
T30_0.1_BHAM	0.6667	4	30
T30_0.1_BHAM	1	8	30
T30_0.1_BHAM	1.5	16	30
T30_0.1_BHAM	2	19	30
T30_0.1_BHAM	3	20	30
T30_0.1_BHAM	4	22	30
T30_0.1_BHAM	6	22	30
T30_0.1_BHAM	8	23	30
T30_0.1_BHAM	24	24	30
T30_0.2_BHAM	0.1667	0	30
T30_0.2_BHAM	0.3333	1	30
T30_0.2_BHAM	0.5	1	30
T30_0.2_BHAM	0.6667	2	30
T30_0.2_BHAM	1	2	30
T30_0.2_BHAM	1.5	2	30
T30_0.2_BHAM	2	2	30
T30_0.2_BHAM	3	3	30
T30_0.2_BHAM	4	8	30
T30_0.2_BHAM	6	9	30
T30_0.2_BHAM	8	12	30
T30_0.2_BHAM	24	17	30
T30_control	0.1667	0	30
T30_control	0.3333	0	30
T30_control	0.5	4	30
T30_control	0.6667	9	30
T30_control	1	15	30
T30_control	1.5	19	30
T30_control	2	20	30
T30_control	3	22	30
T30_control	4	25	30
T30_control	6	26	30
T30_control	8	26	30
T30_control	24	26	30
T60_0.1_BHAM	0.1667	0	40
T60_0.1_BHAM	0.3333	0	40
T60_0.1_BHAM	0.5	0	40
T60_0.1_BHAM	0.6667	4	40
T60_0.1_BHAM	1	5	40
T60_0.1_BHAM	1.5	9	40
T60_0.1_BHAM	2	11	40
T60_0.1_BHAM	3	13	40
T60_0.1_BHAM	4	18	40
T60_0.1_BHAM	6	18	40
T60_0.1_BHAM	8	18	40
T60_0.1_BHAM	24	24	40
T60_0.2_BHAM	0.1667	0	40
T60_0.2_BHAM	0.3333	0	40
T60_0.2_BHAM	0.5	0	40
T60_0.2_BHAM	0.6667	1	40
T60_0.2_BHAM	1	1	40
T60_0.2_BHAM	1.5	3	40
T60_0.2_BHAM	2	4	40
T60_0.2_BHAM	3	6	40
T60_0.2_BHAM	4	8	40
T60_0.2_BHAM	6	9	40
T60_0.2_BHAM	8	11	40
T60_0.2_BHAM	24	15	40
T60_control	0.1667	0	40
T60_control	0.3333	0	40
T60_control	0.5	3	40
T60_control	0.6667	8	40
T60_control	1	16	40
T60_control	1.5	19	40
T60_control	2	24	40
T60_control	3	27	40
T60_control	4	28	40
T60_control	6	30	40
T60_control	8	35	40
T60_control	24	36	40
