treatment	time	moving	total
AQP10	1	21	30
AQP10	2	26	30
AQP10	25	26	30
AQP10	49	26	30
AQP3	1	24	30
AQP3	2	26	30
AQP3	25	27	30
AQP3	49	28	30
CAT	1	24	30
CAT	2	29	30
CAT	25	29	30
CAT	49	29	30
Control_WatInj	1	30	30
Control_WatInj	2	30	30
Control_WatInj	25	30	30
Control_WatInj	49	30	30
Control-NoInJ	1	30	30
Control-NoInJ	2	30	30
Control-NoInJ	25	30	30
Control-NoInJ	49	30	30
GPX	1	14	30
GPX	2	17	30
GPX	25	19	30
GPX	49	18	30
GSR	1	22	30
GSR	2	27	30
GSR	25	28	30
GSR	49	29	30
GST	1	27	30
GST	2	29	30
GST	25	28	30
GST	49	28	30
SOD	1	24	30
SOD	2	29	30
SOD	25	29	30
SOD	49	29	30
TPS	1	31	32
TPS	2	31	32
TPS	25	31	32
TPS	49	30	32
