population	time	moving	total
Macrobiotus_ripperi_S14_trial_2	1	1	39
Macrobiotus_ripperi_S14_trial_2	4	11	39
Macrobiotus_ripperi_S14_trial_2	24	19	39
Macrobiotus_annewintersae_S207_trial_2	1	16	39
Macrobiotus_annewintersae_S207_trial_2	4	22	39
Macrobiotus_annewintersae_S207_trial_2	24	36	39
Paramacrobiotus_cf_klymenki_PT006_trial_2	1	11	39
Paramacrobiotus_cf_klymenki_PT006_trial_2	4	30	39
Paramacrobiotus_cf_klymenki_PT006_trial_2	24	34	39
Paramacrobiotus_cf_klymenki_PT006_trial_1	1	22	30
Paramacrobiotus_cf_klymenki_PT006_trial_1	2	25	30
Paramacrobiotus_cf_klymenki_PT006_trial_1	4	25	30
Paramacrobiotus_cf_klymenki_PT006_trial_1	24	25	30
Paramacrobiotus_cf_klymenki_PT006_trial_1	48	25	30
Macrobiotus_annewintersae_S207_trial_1	1	42	84
Macrobiotus_annewintersae_S207_trial_1	2	55	84
Macrobiotus_annewintersae_S207_trial_1	4	60	84
Macrobiotus_annewintersae_S207_trial_1	24	77	84
Macrobiotus_annewintersae_S207_trial_1	48	78	84
Macrobiotus_ripperi_S14_trial_1	1	8	72
Macrobiotus_ripperi_S14_trial_1	2	14	72
Macrobiotus_ripperi_S14_trial_1	4	21	72
Macrobiotus_ripperi_S14_trial_1	24	34	72
Macrobiotus_ripperi_S14_trial_1	48	38	72
Macrobiotus_vladimiri_S39_trial_1	1	34	40
Macrobiotus_vladimiri_S39_trial_1	2	36	40
Macrobiotus_vladimiri_S39_trial_1	4	37	40
Macrobiotus_vladimiri_S39_trial_1	24	38	40
Macrobiotus_vladimiri_S39_trial_1	48	38	40
Macrobiotus_vladimiri_S39_trial_2	1	7	21
Macrobiotus_vladimiri_S39_trial_2	2	13	21
Macrobiotus_vladimiri_S39_trial_2	4	17	21
Macrobiotus_vladimiri_S39_trial_2	24	17	21
Macrobiotus_vladimiri_S39_trial_2	48	17	21
Paramacrobiotus_fairbanksi_S09_trial_1	1	0	36
Paramacrobiotus_fairbanksi_S09_trial_1	4	0	36
Paramacrobiotus_fairbanksi_S09_trial_1	24	0	36
Paramacrobiotus_fairbanksi_S09_trial_2	1	0	28
Paramacrobiotus_fairbanksi_S09_trial_2	2	0	28
Paramacrobiotus_fairbanksi_S09_trial_2	4	0	28
Paramacrobiotus_fairbanksi_S09_trial_2	24	0	28
Paramacrobiotus_fairbanksi_S09_trial_2	48	1	28
Macrobiotus_hannae_S33_trial_1	1	0	37
Macrobiotus_hannae_S33_trial_1	4	8	37
Macrobiotus_hannae_S33_trial_1	24	22	37
Macrobiotus_hannae_S33_trial_2	1	3	26
Macrobiotus_hannae_S33_trial_2	2	4	26
Macrobiotus_hannae_S33_trial_2	4	4	26
Macrobiotus_hannae_S33_trial_2	24	4	26
Macrobiotus_hannae_S33_trial_2	48	4	26
