population	time	moving	total
Macrobiotus_annewintersae_3	1	42	84
Macrobiotus_annewintersae_3	4	60	84
Macrobiotus_annewintersae_3	24	77	84
Macrobiotus_annewintersae_5	1	42	84
Macrobiotus_annewintersae_5	2	55	84
Macrobiotus_annewintersae_5	4	60	84
Macrobiotus_annewintersae_5	24	77	84
Macrobiotus_annewintersae_5	48	78	84
Macrobiotus_polonicus_S218_3	1	36	37
Macrobiotus_polonicus_S218_3	4	36	37
Macrobiotus_polonicus_S218_3	24	36	37
Macrobiotus_polonicus_S218_5	1	36	37
Macrobiotus_polonicus_S218_5	2	36	37
Macrobiotus_polonicus_S218_5	4	36	37
Macrobiotus_polonicus_S218_5	24	36	37
Macrobiotus_polonicus_S218_5	48	36	37
Macrobiotus_ripperi_S14_3	1	8	72
Macrobiotus_ripperi_S14_3	4	21	72
Macrobiotus_ripperi_S14_3	24	34	72
Macrobiotus_ripperi_S14_5	1	8	72
Macrobiotus_ripperi_S14_5	2	14	72
Macrobiotus_ripperi_S14_5	4	21	72
Macrobiotus_ripperi_S14_5	24	34	72
Macrobiotus_ripperi_S14_5	48	38	72
Macrobiotus_vladimiri_S39_3	1	34	40
Macrobiotus_vladimiri_S39_3	4	37	40
Macrobiotus_vladimiri_S39_3	24	38	40
Macrobiotus_vladimiri_S39_5	1	34	40
Macrobiotus_vladimiri_S39_5	2	36	40
Macrobiotus_vladimiri_S39_5	4	37	40
Macrobiotus_vladimiri_S39_5	24	38	40
Macrobiotus_vladimiri_S39_5	48	38	40
Mesobiotus_S1822_3	1	8	37
Mesobiotus_S1822_3	4	16	37
Mesobiotus_S1822_3	24	22	37
Mesobiotus_S1822_5	1	8	37
Mesobiotus_S1822_5	2	13	37
Mesobiotus_S1822_5	4	16	37
Mesobiotus_S1822_5	24	22	37
Mesobiotus_S1822_5	48	23	37
Paramcrobiotus_richtersi_S1868_3	1	4	32
Paramcrobiotus_richtersi_S1868_3	4	15	32
Paramcrobiotus_richtersi_S1868_3	24	20	32
Paramcrobiotus_richtersi_S1868_5	1	4	32
Paramcrobiotus_richtersi_S1868_5	2	11	32
Paramcrobiotus_richtersi_S1868_5	4	15	32
Paramcrobiotus_richtersi_S1868_5	24	20	32
Paramcrobiotus_richtersi_S1868_5	48	22	32
