population	time	moving	total
Paramacrobiotus_sp_PT006	1	22	30
Paramacrobiotus_sp_PT006	2	25	30
Paramacrobiotus_sp_PT006	4	25	30
Paramacrobiotus_sp_PT006	24	25	30
Paramacrobiotus_sp_PT006	48	25	30
Paramcrobiotus_richtersi_S1868	1	4	32
Paramcrobiotus_richtersi_S1868	2	11	32
Paramcrobiotus_richtersi_S1868	4	15	32
Paramcrobiotus_richtersi_S1868	24	20	32
Paramcrobiotus_richtersi_S1868	48	22	32
Paramacrobiotus_sp_IT048	1	26	41
Paramacrobiotus_sp_IT048	2	30	41
Paramacrobiotus_sp_IT048	4	30	41
Paramacrobiotus_sp_IT048	24	34	41
Paramacrobiotus_sp_IT048	48	34	41
Macrobiotus_polonicus_S218	1	36	37
Macrobiotus_polonicus_S218	2	36	37
Macrobiotus_polonicus_S218	4	36	37
Macrobiotus_polonicus_S218	24	36	37
Macrobiotus_polonicus_S218	48	36	37
Macrobiotus_GL001	1	0	26
Macrobiotus_GL001	2	0	26
Macrobiotus_GL001	4	1	26
Macrobiotus_GL001	24	1	26
Macrobiotus_GL001	48	1	26
Mesobiotus_radiatus_KE008	1	10	32
Mesobiotus_radiatus_KE008	2	22	32
Mesobiotus_radiatus_KE008	4	25	32
Mesobiotus_radiatus_KE008	24	26	32
Mesobiotus_radiatus_KE008	48	26	32
Mesobiotus_sp_A_S1822	1	8	37
Mesobiotus_sp_A_S1822	2	13	37
Mesobiotus_sp_A_S1822	4	16	37
Mesobiotus_sp_A_S1822	24	22	37
Mesobiotus_sp_A_S1822	48	23	37
Mesobiotus_VN036	1	3	13
Mesobiotus_VN036	2	6	13
Mesobiotus_VN036	4	8	13
Mesobiotus_VN036	24	9	13
Mesobiotus_VN036	48	11	13
Macrobiotus_vladimiri_S39	1	34	40
Macrobiotus_vladimiri_S39	2	36	40
Macrobiotus_vladimiri_S39	4	37	40
Macrobiotus_vladimiri_S39	24	38	40
Macrobiotus_vladimiri_S39	48	38	40
Macrobiotus_vladimiri_S39	1	7	21
